municipality_name|municipality_id|comerce_transport_catering|communication|construction|finances_insurance|industry|personal_services|professional_tecnical_activities|real_estate|social_services|total|total_services
Alaior|7002|245.0|6.0|135.0|13.0|49.0|61.0|163.0|63.0|41.0|776.0|347.0
Alajeró|38003|44.0||7.0||6.0|||||88.0|31.0
Alameda|29001|122.0||53.0||34.0|22.0|24.0|5.0|12.0|277.0|68.0
Alameda de la Sagra|45002|82.0||34.0||23.0|||||188.0|49.0
Alameda del Valle|28003||||||||||18.0|
Alamedilla|18002||||||||||12.0|
Alamillo|13003||||||||||14.0|
Alamús, Els|25004||||||||||55.0|
Alange|6004|49.0||19.0||4.0|||||100.0|28.0
Alanís|41002|38.0||8.0||6.0|||||62.0|10.0
Alaquàs|46005|733.0|14.0|209.0|43.0|242.0|174.0|224.0|99.0|79.0|1817.0|633.0
Alar del Rey|34005||||||||||67.0|
Alaraz|37007||||||||||31.0|
Alarcón|16003||||||||||10.0|
Alarilla|19005||||||||||5.0|
Alaró|7001|100.0|6.0|96.0|7.0|27.0|39.0|108.0|30.0|28.0|441.0|218.0
Alatoz|2002||||||||||29.0|
Alba|44007||||||||||4.0|
Alba de Tormes|37008|171.0||76.0||34.0|32.0|38.0|12.0|17.0|389.0|108.0
Alba de Yeltes|37009||||||||||8.0|
Albacete|2003|4279.0|181.0|1372.0|344.0|924.0|1199.0|2140.0|752.0|1165.0|12356.0|5781.0
Albagés, L'|25006||||||||||23.0|
Albaida|46006|207.0|4.0|30.0|22.0|104.0|48.0|69.0|34.0|30.0|548.0|207.0
Albaida del Aljarafe|41003|70.0||41.0||5.0|||||154.0|38.0
Albal|46007|418.0|11.0|106.0|27.0|97.0|88.0|130.0|46.0|55.0|978.0|357.0
Albaladejo|13004|25.0||4.0||8.0|||||48.0|11.0
Albaladejo del Cuende|16004||||||||||8.0|
Albalat de la Ribera|46008|75.0||52.0||20.0|||||220.0|73.0
Albalat dels Sorells|46009|101.0||23.0||28.0|||||264.0|112.0
Albalat dels Tarongers|46010|20.0|||||||||63.0|28.0
Albalate de Cinca|22007|38.0||17.0||7.0|||||88.0|26.0
Albalate de Zorita|19006||||||||||64.0|
Albalate de las Nogueras|16005||||||||||12.0|
Albalate del Arzobispo|44008|40.0||15.0||16.0|||||93.0|22.0
Albalatillo|22008||||||||||11.0|
Albalá|10007||||||||||29.0|
Albanchez|4004||||||||||42.0|
Albanchez de Mágina|23001|19.0||4.0||4.0|||||38.0|11.0
Albanyà|17003||||||||||15.0|
Albares|19007||||||||||22.0|
Albarracín|44009|69.0||13.0||8.0|||||108.0|18.0
Albarreal de Tajo|45003||||||||||38.0|
Albatana|2004||||||||||32.0|
Albatera|3005|446.0|10.0|85.0|19.0|61.0|74.0|77.0|20.0|55.0|847.0|255.0
Albatàrrec|25007|44.0||17.0||6.0|||||111.0|44.0
Albelda|22009||||||||||46.0|
Albelda de Iregua|26005|77.0||36.0||37.0|||||228.0|78.0
Albendiego|19008||||||||||4.0|
Albentosa|44010||||||||||25.0|
Alberca de Záncara, La|16007|41.0||14.0||8.0|||||86.0|23.0
Alberca, La|37010|55.0||17.0||13.0|||||109.0|24.0
Alberguería de Argañán, La|37011||||||||||4.0|
Alberic|46011|234.0|6.0|99.0|14.0|62.0|67.0|88.0|22.0|42.0|634.0|239.0
Alberite|26006|64.0||34.0||25.0|||||171.0|48.0
Albero Alto|22011||||||||||6.0|
Albero Bajo|22012||||||||||6.0|
Alberuela de Tubo|22013||||||||||14.0|
Albesa|25008|22.0||17.0||8.0|||||71.0|24.0
Albeta|50011||||||||||10.0|
Albi, L'|25009||||||||||49.0|
Albillos|9009||||||||||18.0|
Albinyana|43002|43.0||25.0||6.0|||||102.0|28.0
Albiol, L'|43003||||||||||21.0|
Albiztur|20004||||||||||24.0|
Albocàsser|12003|43.0||22.0||9.0|||||97.0|23.0
Alboloduy|4005||||||||||24.0|
Albolote|18003|730.0|29.0|186.0|36.0|125.0|141.0|218.0|63.0|123.0|1651.0|610.0
Albondón|18004||||||||||37.0|
Albons|17004||||||||||66.0|
Alborache|46012|23.0||4.0||6.0|||||63.0|30.0
Alboraia/Alboraya|46013|641.0|53.0|144.0|62.0|121.0|184.0|341.0|116.0|176.0|1838.0|932.0
Alborea|2005||||||||||57.0|
Alborge|50012||||||||||11.0|
Albornos|5005||||||||||8.0|
Albox|4006|450.0|13.0|151.0|14.0|54.0|64.0|113.0|41.0|45.0|945.0|290.0
Albudeite|30004|14.0||6.0||8.0|||||40.0|12.0
Albuera, La|6005|43.0||18.0||10.0|||||104.0|33.0
Albuixech|46014|98.0||30.0||27.0|||||254.0|99.0
Alburquerque|6006|141.0|4.0|25.0|5.0|31.0|25.0|33.0|11.0|10.0|285.0|88.0
Albuñol|18006|115.0||34.0|8.0|14.0|19.0|13.0||10.0|222.0|59.0
Albuñuelas|18007||||||||||21.0|
Albuñán|18005||||||||||15.0|
Alcabón|45004||||||||||29.0|
Alcadozo|2006||||||||||28.0|
Alcaine|44011||||||||||4.0|
Alcalalí|3006|31.0|||||||||102.0|41.0
Alcalà de Xivert|12004|249.0|5.0|95.0|9.0|21.0|57.0|84.0|60.0|21.0|601.0|236.0
Alcalá de Ebro|50013||||||||||15.0|
Alcalá de Guadaíra|41004|2029.0|65.0|572.0|109.0|459.0|415.0|728.0|223.0|297.0|4897.0|1837.0
Alcalá de Gurrea|22014||||||||||13.0|
Alcalá de Henares|28005|3434.0|201.0|1512.0|243.0|462.0|1080.0|1703.0|524.0|907.0|10066.0|4658.0
Alcalá de Moncayo|50014||||||||||6.0|
Alcalá de la Selva|44012||||||||||42.0|
Alcalá de la Vega|16008||||||||||6.0|
Alcalá de los Gazules|11001|146.0||20.0||14.0|24.0|33.0|4.0|15.0|260.0|80.0
Alcalá del Júcar|2007|53.0||9.0||7.0|||||84.0|15.0
Alcalá del Obispo|22015||||||||||14.0|
Alcalá del Río|41005|264.0|10.0|59.0|21.0|33.0|61.0|71.0|20.0|45.0|584.0|228.0
Alcalá del Valle|11002|104.0||20.0||13.0|24.0|11.0||8.0|186.0|49.0
Alcalá la Real|23002|567.0|17.0|165.0|33.0|147.0|122.0|184.0|42.0|85.0|1362.0|483.0
Alcampell|22016||||||||||45.0|
Alcanadre|26007||||||||||41.0|
Alcanar|43004|301.0|7.0|79.0|17.0|30.0|47.0|85.0|26.0|48.0|640.0|230.0
Alcantarilla|30005|1052.0|31.0|329.0|40.0|234.0|259.0|306.0|96.0|152.0|2499.0|884.0
Alcanó|25010||||||||||13.0|
Alcaracejos|14003|49.0|||||||||77.0|13.0
Alcaraz|2008|55.0||11.0||6.0|||||97.0|25.0
Alcarràs|25011|237.0||69.0||43.0|53.0|59.0|46.0|27.0|546.0|197.0
Alcaucín|29002|60.0||24.0||10.0|||||155.0|61.0
Alcaudete|23003|274.0||70.0||52.0|47.0|48.0|17.0|31.0|552.0|156.0
Alcaudete de la Jara|45006|31.0||18.0|||||||69.0|
Alcazarén|47005||||||||||29.0|
Alcañices|49003|51.0||7.0||7.0|||||82.0|17.0
Alcañiz|44013|473.0|18.0|176.0|34.0|78.0|155.0|179.0|71.0|84.0|1268.0|541.0
