distance|iqid|vqid|maxradius
5.142|Q17482681|Q11918302|30.0
5.249|Q17483513|Q11918302|30.0
14.497|Q17483565|Q11918302|30.0
11.082|Q17483641|Q11918302|30.0
18.971|Q11941682|Q11918302|30.0
18.621|Q17300936|Q11918302|30.0
21.795|Q17483015|Q11918302|30.0
19.271|Q17483734|Q11918302|30.0
13.615|Q11931537|Q11918302|30.0
12.659|Q11940662|Q11918302|30.0
9.865|Q11943323|Q11918302|30.0
12.776|Q11952674|Q11918302|30.0
12.172|Q11952765|Q11918302|30.0
10.274|Q17481940|Q11918302|30.0
8.348|Q17482218|Q11918302|30.0
12.57|Q17482939|Q11918302|30.0
10.634|Q17483465|Q11918302|30.0
13.055|Q106436387|Q11918302|30.0
23.932|Q11943866|Q11918302|30.0
25.342|Q11953779|Q11918302|30.0
23.948|Q17481314|Q11918302|30.0
25.757|Q17482753|Q11918302|30.0
24.457|Q17482928|Q11918302|30.0
27.204|Q11931727|Q11918302|30.0
27.204|Q11931729|Q11918302|30.0
29.594|Q17483848|Q11918302|30.0
26.382|Q110463230|Q11918302|30.0
22.482|Q11918441|Q11918302|30.0
21.368|Q11952710|Q11918302|30.0
24.243|Q17300935|Q11918302|30.0
26.063|Q17481579|Q11918302|30.0
24.701|Q17482297|Q11918302|30.0
23.704|Q17482955|Q11918302|30.0
27.469|Q11933732|Q11918302|30.0
29.039|Q11952813|Q11918302|30.0
27.152|Q11952903|Q11918302|30.0
26.641|Q11943710|Q11918302|30.0
21.401|Q11915835|Q11918302|30.0
22.245|Q11943707|Q11918302|30.0
24.292|Q11948998|Q11918302|30.0
22.271|Q17481543|Q11918302|30.0
21.439|Q17482054|Q11918302|30.0
24.698|Q11924725|Q11918302|30.0
23.809|Q11943448|Q11918302|30.0
23.299|Q11943501|Q11918302|30.0
28.573|Q11943830|Q11918302|30.0
27.266|Q11949417|Q11918302|30.0
26.751|Q17481769|Q11918302|30.0
25.508|Q17483590|Q11918302|30.0
24.634|Q22328838|Q11918302|30.0
7.933|Q11918199|Q11918302|30.0
11.55|Q11918618|Q11918302|30.0
7.43|Q11930681|Q11918302|30.0
20.013|Q11943378|Q11918302|30.0
24.583|Q11943634|Q11918302|30.0
21.61|Q11948333|Q11918302|30.0
1.375|Q11952614|Q11918302|30.0
1.741|Q11952626|Q11918302|30.0
14.782|Q11952691|Q11918302|30.0
7.664|Q11952779|Q11918302|30.0
14.253|Q11952780|Q11918302|30.0
15.84|Q11952819|Q11918302|30.0
1.811|Q11952820|Q11918302|30.0
14.053|Q11953521|Q11918302|30.0
14.901|Q11953565|Q11918302|30.0
22.199|Q11953782|Q11918302|30.0
22.517|Q17481283|Q11918302|30.0
8.452|Q17481578|Q11918302|30.0
8.16|Q17481640|Q11918302|30.0
7.758|Q17481641|Q11918302|30.0
13.236|Q17481932|Q11918302|30.0
14.634|Q17482001|Q11918302|30.0
14.604|Q17482458|Q11918302|30.0
25.079|Q17482816|Q11918302|30.0
25.017|Q17482913|Q11918302|30.0
3.482|Q17482914|Q11918302|30.0
7.718|Q17483023|Q11918302|30.0
17.817|Q17483072|Q11918302|30.0
24.307|Q20104485|Q11918302|30.0
26.42|Q11949202|Q11918302|30.0
19.512|Q17481614|Q11918302|30.0
29.192|Q17482051|Q11918302|30.0
29.915|Q17482757|Q11918302|30.0
28.138|Q11943821|Q11918302|30.0
23.898|Q17482106|Q11918302|30.0
29.708|Q17483199|Q11918302|30.0
27.818|Q11930444|Q11918302|30.0
29.959|Q11937897|Q11918302|30.0
28.205|Q11949099|Q11918302|30.0
28.65|Q17481705|Q11918302|30.0
29.343|Q17481834|Q11918302|30.0
