distance|iqid|vqid|maxradius
12.264|Q23994359|Q100374888|30.0
14.481|Q24002491|Q100374888|30.0
29.598|Q24002677|Q100374888|30.0
25.068|Q6071168|Q100374888|30.0
12.153|Q23992852|Q100374888|30.0
7.782|Q23994240|Q100374888|30.0
24.907|Q13147879|Q100374888|30.0
18.989|Q23991408|Q100374888|30.0
27.341|Q24002608|Q100374888|30.0
22.537|Q6115923|Q100374888|30.0
27.689|Q6115717|Q100374888|30.0
19.516|Q5194931|Q100374888|30.0
24.426|Q6115816|Q100374888|30.0
18.343|Q9071599|Q100374888|30.0
18.102|Q2842192|Q100374888|30.0
15.318|Q4811768|Q100374888|30.0
17.397|Q95117039|Q100374888|30.0
4.549|Q20013929|Q100374888|5.0
0.055|Q85807497|Q100374888|5.0
0.0|Q100374888|Q100374888|5.0
3.37|Q112981043|Q100374888|5.0
4.177|Q1017850|Q100374888|5.0
3.133|Q1018040|Q100374888|5.0
4.422|Q1018072|Q100374888|5.0
0.241|Q1341106|Q100374888|5.0
4.11|Q5117159|Q100374888|5.0
0.068|Q5196022|Q100374888|5.0
3.462|Q6063690|Q100374888|5.0
0.097|Q8341706|Q100374888|5.0
0.219|Q10881067|Q100374888|5.0
0.337|Q11255211|Q100374888|5.0
25.726|Q23990557|Q100308331|30.0
22.126|Q23993801|Q100308331|30.0
26.987|Q23993088|Q100308331|30.0
19.658|Q12393493|Q100308331|30.0
2.307|Q23992427|Q100308331|30.0
19.752|Q24001365|Q100308331|30.0
26.166|Q24001462|Q100308331|30.0
26.769|Q24003998|Q100308331|30.0
19.624|Q23994804|Q100308331|30.0
23.901|Q24003973|Q100308331|30.0
26.305|Q12399344|Q100308331|30.0
28.929|Q23993746|Q100308331|30.0
24.437|Q23995558|Q100308331|30.0
17.892|Q9071913|Q100308331|30.0
19.554|Q9072088|Q100308331|30.0
9.072|Q2882917|Q100308331|30.0
11.834|Q3398684|Q100308331|30.0
13.001|Q9072106|Q100308331|30.0
26.62|Q19887475|Q100308331|30.0
15.157|Q12393775|Q100308331|30.0
3.793|Q1387914|Q100308331|5.0
4.802|Q1447446|Q100308331|5.0
2.416|Q9028536|Q100308331|5.0
0.146|Q9093701|Q100308331|5.0
2.77|Q12380546|Q100308331|5.0
3.122|Q12380643|Q100308331|5.0
3.642|Q12382159|Q100308331|5.0
4.287|Q12383918|Q100308331|5.0
3.834|Q12386124|Q100308331|5.0
3.812|Q12387350|Q100308331|5.0
2.313|Q12387918|Q100308331|5.0
4.484|Q12393666|Q100308331|5.0
3.474|Q12393962|Q100308331|5.0
1.576|Q12399036|Q100308331|5.0
4.324|Q12399262|Q100308331|5.0
4.852|Q12399799|Q100308331|5.0
3.659|Q12401725|Q100308331|5.0
3.36|Q20545966|Q100308331|5.0
4.279|Q20546947|Q100308331|5.0
4.718|Q20550319|Q100308331|5.0
0.0|Q100308331|Q100308331|5.0
9.145|Q9184902|Q100146427|30.0
20.502|Q23982378|Q100146427|30.0
12.878|Q5934581|Q100146427|30.0
19.3|Q23988001|Q100146427|30.0
26.323|Q2452034|Q100146427|30.0
23.589|Q2945638|Q100146427|30.0
17.889|Q3019737|Q100146427|30.0
19.161|Q6127715|Q100146427|30.0
16.182|Q23977114|Q100146427|30.0
12.648|Q23982189|Q100146427|30.0
8.524|Q3006700|Q100146427|30.0
8.524|Q3080375|Q100146427|30.0
26.074|Q6114923|Q100146427|30.0
7.76|Q23987257|Q100146427|30.0
15.16|Q1166701|Q100146427|30.0
11.047|Q2260363|Q100146427|30.0
19.745|Q23984283|Q100146427|30.0
6.825|Q23986995|Q100146427|30.0
19.3|Q23990949|Q100146427|30.0
5.498|Q107453014|Q100146427|30.0
7.953|Q107456447|Q100146427|30.0
11.905|Q6062790|Q100146427|30.0
11.282|Q5904202|Q100146427|30.0
12.172|Q107456480|Q100146427|30.0
3.787|Q107456441|Q100146427|30.0
3.073|Q107456443|Q100146427|30.0
13.428|Q5654672|Q100146427|30.0
12.876|Q47517357|Q100146427|30.0
12.358|Q4785407|Q100146427|30.0
11.352|Q6033980|Q100146427|30.0
12.183|Q30621860|Q100146427|30.0
11.425|Q107456444|Q100146427|30.0
11.853|Q429192|Q100146427|30.0
12.202|Q5755346|Q100146427|30.0
12.573|Q6034176|Q100146427|30.0
11.891|Q27309108|Q100146427|30.0
12.799|Q43174480|Q100146427|30.0
12.219|Q96631864|Q100146427|30.0
12.504|Q97603239|Q100146427|30.0
12.073|Q97604283|Q100146427|30.0
12.57|Q97605864|Q100146427|30.0
11.911|Q107456442|Q100146427|30.0
12.718|Q107456446|Q100146427|30.0
44.5|Q3364597|Q100146427|50.0
17.229|Q14475858|Q100146427|50.0
3.287|Q550974|Q100146427|5.0
4.725|Q555943|Q100146427|5.0
4.552|Q611199|Q100146427|5.0
3.058|Q615722|Q100146427|5.0
2.659|Q2855339|Q100146427|5.0
2.658|Q111120247|Q100146427|5.0
2.659|Q112181341|Q100146427|5.0
2.795|Q3049987|Q100146427|5.0
4.552|Q3867196|Q100146427|5.0
4.411|Q5560986|Q100146427|5.0
3.345|Q5685282|Q100146427|5.0
3.453|Q6064996|Q100146427|5.0
2.415|Q6070042|Q100146427|5.0
3.998|Q16482750|Q100146427|5.0
4.894|Q18640835|Q100146427|5.0
1.549|Q18668500|Q100146427|5.0
2.162|Q21099418|Q100146427|5.0
4.507|Q24011322|Q100146427|5.0
4.717|Q24011385|Q100146427|5.0
3.3|Q24011412|Q100146427|5.0
2.568|Q24024575|Q100146427|5.0
3.037|Q39475939|Q100146427|5.0
3.002|Q43081626|Q100146427|5.0
3.046|Q43117776|Q100146427|5.0
4.687|Q43162820|Q100146427|5.0
2.064|Q72827666|Q100146427|5.0
3.062|Q85683636|Q100146427|5.0
4.703|Q85683672|Q100146427|5.0
4.607|Q85684046|Q100146427|5.0
3.496|Q85684071|Q100146427|5.0
2.84|Q85684073|Q100146427|5.0
3.073|Q97287994|Q100146427|5.0
3.617|Q97288043|Q100146427|5.0
1.799|Q97288381|Q100146427|5.0
3.106|Q97289191|Q100146427|5.0
2.48|Q97604223|Q100146427|5.0
4.576|Q97604770|Q100146427|5.0
3.482|Q97605349|Q100146427|5.0
2.876|Q97605490|Q100146427|5.0
4.666|Q97605613|Q100146427|5.0
2.914|Q98040066|Q100146427|5.0
2.979|Q98043054|Q100146427|5.0
3.153|Q98043056|Q100146427|5.0
3.011|Q98043064|Q100146427|5.0
1.061|Q98058391|Q100146427|5.0
2.382|Q98633130|Q100146427|5.0
4.585|Q99540806|Q100146427|5.0
4.628|Q99540819|Q100146427|5.0
4.555|Q99540823|Q100146427|5.0
3.565|Q99540866|Q100146427|5.0
0.0|Q100146427|Q100146427|5.0
3.212|Q110018207|Q100146427|5.0
2.569|Q110688751|Q100146427|5.0
1.676|Q110689036|Q100146427|5.0
2.701|Q110689265|Q100146427|5.0
16.237|Q9077166|Q100309365|30.0
12.336|Q21004089|Q100309365|30.0
11.541|Q23984123|Q100309365|30.0
23.519|Q23985095|Q100309365|30.0
13.902|Q23986990|Q100309365|30.0
14.497|Q23987957|Q100309365|30.0
21.754|Q2546987|Q100309365|30.0
14.715|Q23977849|Q100309365|30.0
11.865|Q23979433|Q100309365|30.0
13.488|Q23986759|Q100309365|30.0
22.383|Q23986941|Q100309365|30.0
23.659|Q24021613|Q100309365|30.0
6.687|Q1123457|Q100309365|30.0
5.685|Q8538974|Q100309365|30.0
5.958|Q23980341|Q100309365|30.0
7.513|Q23984104|Q100309365|30.0
19.22|Q8538033|Q100309365|30.0
29.106|Q11905144|Q100309365|30.0
15.314|Q11940817|Q100309365|30.0
29.361|Q18007788|Q100309365|30.0
22.062|Q21094693|Q100309365|30.0
16.899|Q23982519|Q100309365|30.0
29.055|Q23987884|Q100309365|30.0
17.461|Q24021612|Q100309365|30.0
12.793|Q11945198|Q100309365|30.0
8.713|Q23987681|Q100309365|30.0
9.221|Q24021917|Q100309365|30.0
8.944|Q24021925|Q100309365|30.0
7.351|Q24021926|Q100309365|30.0
29.66|Q6151066|Q100309365|30.0
28.459|Q11951102|Q100309365|30.0
28.288|Q24021835|Q100309365|30.0
14.602|Q1024813|Q100309365|30.0
25.464|Q23982842|Q100309365|30.0
16.709|Q23988055|Q100309365|30.0
6.547|Q24021918|Q100309365|30.0
9.678|Q28119476|Q100309365|30.0
14.636|Q28121197|Q100309365|30.0
11.556|Q28121278|Q100309365|30.0
19.845|Q28121428|Q100309365|30.0
17.461|Q28121430|Q100309365|30.0
16.22|Q28121431|Q100309365|30.0
5.617|Q28121280|Q100309365|30.0
6.076|Q28121281|Q100309365|30.0
6.393|Q28121323|Q100309365|30.0
7.258|Q28121405|Q100309365|30.0
8.057|Q28121409|Q100309365|30.0
10.486|Q28121413|Q100309365|30.0
20.276|Q28121517|Q100309365|30.0
20.765|Q28121518|Q100309365|30.0
23.53|Q28121521|Q100309365|30.0
29.271|Q28121459|Q100309365|30.0
19.527|Q5815048|Q100309365|30.0
27.101|Q28121325|Q100309365|30.0
24.989|Q28121444|Q100309365|30.0
20.963|Q28121445|Q100309365|30.0
5.898|Q28121279|Q100309365|30.0
27.306|Q28121530|Q100309365|30.0
27.833|Q28121531|Q100309365|30.0
25.844|Q24023247|Q100309365|30.0
25.623|Q24023526|Q100309365|30.0
29.202|Q6078752|Q100309365|30.0
20.32|Q6079241|Q100309365|30.0
22.338|Q11941972|Q100309365|30.0
21.023|Q24023319|Q100309365|30.0
23.655|Q24023315|Q100309365|30.0
26.355|Q24023316|Q100309365|30.0
24.876|Q28121525|Q100309365|30.0
26.317|Q28121529|Q100309365|30.0
27.862|Q32834881|Q100309365|30.0
26.364|Q66763734|Q100309365|30.0
7.069|Q3944573|Q100309365|30.0
16.741|Q18005792|Q100309365|30.0
18.712|Q24023318|Q100309365|30.0
6.877|Q24024652|Q100309365|30.0
19.632|Q28121515|Q100309365|30.0
7.046|Q1241471|Q100309365|30.0
5.636|Q3944448|Q100309365|30.0
9.767|Q6079058|Q100309365|30.0
16.321|Q6079212|Q100309365|30.0
7.148|Q6680567|Q100309365|30.0
7.882|Q8255008|Q100309365|30.0
7.91|Q8255031|Q100309365|30.0
9.767|Q9060632|Q100309365|30.0
6.398|Q9060728|Q100309365|30.0
5.624|Q9060753|Q100309365|30.0
6.209|Q9060754|Q100309365|30.0
5.783|Q11186372|Q100309365|30.0
14.99|Q11193058|Q100309365|30.0
14.158|Q23979998|Q100309365|30.0
6.909|Q23980319|Q100309365|30.0
8.172|Q23984798|Q100309365|30.0
9.68|Q23987658|Q100309365|30.0
7.523|Q24003763|Q100309365|30.0
5.638|Q24003764|Q100309365|30.0
6.855|Q24003766|Q100309365|30.0
26.919|Q28121490|Q100309365|30.0
19.858|Q28121516|Q100309365|30.0
12.201|Q28121421|Q100309365|30.0
7.928|Q28121406|Q100309365|30.0
11.937|Q28121420|Q100309365|30.0
16.741|Q28121513|Q100309365|30.0
18.553|Q28121514|Q100309365|30.0
22.324|Q28121520|Q100309365|30.0
25.064|Q28121527|Q100309365|30.0
25.203|Q28121528|Q100309365|30.0
25.451|Q28121442|Q100309365|30.0
25.292|Q28121443|Q100309365|30.0
26.327|Q28121491|Q100309365|30.0
25.831|Q28121492|Q100309365|30.0
25.661|Q28121493|Q100309365|30.0
15.627|Q28121200|Q100309365|30.0
14.772|Q28121423|Q100309365|30.0
15.057|Q28121424|Q100309365|30.0
9.016|Q28121410|Q100309365|30.0
10.064|Q28121412|Q100309365|30.0
11.099|Q28121416|Q100309365|30.0
28.12|Q28121489|Q100309365|30.0
27.144|Q28121324|Q100309365|30.0
3.4|Q9034584|Q100309365|30.0
23.333|Q8196976|Q100309365|30.0
23.581|Q6115706|Q100309365|30.0
25.354|Q6034281|Q100309365|30.0
26.103|Q63927279|Q100309365|30.0
25.986|Q49451068|Q100309365|30.0
27.103|Q6033634|Q100309365|30.0
23.494|Q6034523|Q100309365|30.0
23.527|Q25411098|Q100309365|30.0
42.813|Q11937381|Q100309365|50.0
35.416|Q3825013|Q100309365|50.0
27.283|Q9056039|Q100309365|50.0
37.287|Q9056027|Q100309365|50.0
37.567|Q5485997|Q100309365|50.0
4.874|Q1629368|Q100309365|5.0
4.766|Q2037040|Q100309365|5.0
