distance|iqid|vqid|maxradius
13.013|Q23980117|Q110688873|30.0
7.358|Q23982187|Q110688873|30.0
15.562|Q23986250|Q110688873|30.0
13.611|Q23988044|Q110688873|30.0
25.452|Q602169|Q110688873|30.0
25.452|Q3650066|Q110688873|30.0
19.988|Q23982866|Q110688873|30.0
23.619|Q23986017|Q110688873|30.0
23.729|Q108095358|Q110688873|30.0
19.795|Q108104805|Q110688873|30.0
23.626|Q5768477|Q110688873|30.0
21.391|Q23984927|Q110688873|30.0
23.798|Q23988629|Q110688873|30.0
20.331|Q23988870|Q110688873|30.0
19.9|Q108033785|Q110688873|30.0
27.781|Q18030|Q110688873|30.0
21.894|Q18041|Q110688873|30.0
26.044|Q97605491|Q110688873|30.0
13.646|Q3820256|Q110688873|50.0
4.42|Q23978907|Q110688873|5.0
4.189|Q110688731|Q110688873|5.0
0.0|Q110688873|Q110688873|5.0
3.089|Q110688894|Q110688873|5.0
2.319|Q110688896|Q110688873|5.0
5.544|Q23984543|Q110688872|30.0
8.108|Q23987040|Q110688872|30.0
11.056|Q83874266|Q110688872|30.0
28.279|Q23986859|Q110688872|30.0
9.019|Q3483464|Q110688872|30.0
27.991|Q23987443|Q110688872|30.0
26.699|Q209528|Q110688872|30.0
27.495|Q1420262|Q110688872|30.0
28.251|Q2096768|Q110688872|30.0
24.961|Q7191025|Q110688872|30.0
25.168|Q24021952|Q110688872|30.0
7.88|Q6078813|Q110688872|30.0
9.452|Q24023431|Q110688872|30.0
13.746|Q6078830|Q110688872|30.0
26.522|Q6079104|Q110688872|30.0
27.037|Q6079121|Q110688872|30.0
23.574|Q24023432|Q110688872|30.0
11.327|Q24023538|Q110688872|30.0
26.571|Q24024483|Q110688872|30.0
13.201|Q2881924|Q110688872|30.0
26.258|Q24023590|Q110688872|30.0
27.168|Q28122359|Q110688872|30.0
18.081|Q28122342|Q110688872|30.0
22.907|Q28122378|Q110688872|30.0
24.02|Q28122380|Q110688872|30.0
22.549|Q28122381|Q110688872|30.0
20.239|Q28122382|Q110688872|30.0
25.391|Q28122383|Q110688872|30.0
24.807|Q28122384|Q110688872|30.0
27.65|Q28122379|Q110688872|30.0
26.187|Q17993|Q110688872|30.0
27.754|Q6115094|Q110688872|30.0
20.717|Q3301734|Q110688872|30.0
12.305|Q126851|Q110688872|30.0
11.424|Q23986893|Q110688872|30.0
27.28|Q98058047|Q110688872|30.0
49.863|Q3364597|Q110688872|50.0
2.151|Q611250|Q110688872|5.0
3.686|Q615061|Q110688872|5.0
4.092|Q615809|Q110688872|5.0
4.979|Q5664244|Q110688872|5.0
2.591|Q5667402|Q110688872|5.0
0.062|Q6092293|Q110688872|5.0
2.211|Q23982875|Q110688872|5.0
4.043|Q24011310|Q110688872|5.0
3.687|Q24011314|Q110688872|5.0
4.781|Q110018177|Q110688872|5.0
4.781|Q110018180|Q110688872|5.0
2.213|Q110018198|Q110688872|5.0
2.213|Q110020825|Q110688872|5.0
3.071|Q110688782|Q110688872|5.0
3.523|Q110688799|Q110688872|5.0
4.916|Q110688802|Q110688872|5.0
2.126|Q110688838|Q110688872|5.0
0.0|Q110688872|Q110688872|5.0
3.308|Q110689032|Q110688872|5.0
25.945|Q23982568|Q110688874|30.0
22.519|Q23984053|Q110688874|30.0
26.491|Q23984288|Q110688874|30.0
17.274|Q23987292|Q110688874|30.0
27.948|Q23987851|Q110688874|30.0
10.398|Q5737959|Q110688874|30.0
28.732|Q23978970|Q110688874|30.0
1.465|Q23983069|Q110688874|30.0
